4,1242481759,1235,4,8121680000
4,1242481759,1236,4,8121680000
3,1242481759,1239,4,8121680000
3,1242481759,1240,4,8121680000
3,1242481759,1240,4,8170080000
3,1242481759,1241,4,8170080000
3,1242481759,1241,4,8170080000
3,1242481759,1243,4,8170080000
3,1242481759,1248,4,8170080000
3,1242481759,1249,4,8170080000
3,1242481759,1250,4,8170080000
3,1242481759,1250,4,8121680000
3,1242481759,1250,4,8170080000
3,1242481759,1251,4,8170090042
4,1242481759,1254,4,8170090042
3,0,700,6,8170090042
4,1242481759,701,6,8170081700
